INFO:  2023-06-12 01:23:42,773:  17136:  <module>:  ETL job initialised.
INFO:  2023-06-12 01:23:50,922:  17136:  clean_staging_tables:  Staging tables cleaning started.
INFO:  2023-06-12 01:23:50,925:  17136:  clean_staging_tables:  Staging tables cleaned successfully.
INFO:  2023-06-12 01:23:50,925:  17136:  clean_staging_tables:  Staging tables cleaning has ended.
INFO:  2023-06-12 01:23:50,925:  17136:  main:  Cleaning staging tables CPU usage 0.7%.
INFO:  2023-06-12 01:23:50,925:  17136:  main:  Cleaning staging tables took: 0.0024569034576416016 seconds.
INFO:  2023-06-12 01:23:50,925:  17136:  extract:  Start Products extract session.
INFO:  2023-06-12 01:23:51,030:  17136:  extract:  Extraction session of Products completed successfully.
INFO:  2023-06-12 01:23:51,030:  17136:  main:  Extraction of Products CPU usage 6.6%.
INFO:  2023-06-12 01:23:51,030:  17136:  main:  Extraction took: 0.10591340065002441 seconds.
INFO:  2023-06-12 01:23:51,030:  17136:  staging_load:  Start Products staging load session.
INFO:  2023-06-12 01:23:51,618:  17136:  staging_load:  Staging load session of Products completed successfully.
INFO:  2023-06-12 01:23:51,618:  17136:  staging_load:  Staging load session of Products has ended.
INFO:  2023-06-12 01:23:51,618:  17136:  main:  Staging load of Products CPU usage 0.7%.
INFO:  2023-06-12 01:23:51,618:  17136:  main:  Staging load took: 0.5877764225006104 seconds.
INFO:  2023-06-12 01:23:51,618:  17136:  extract:  Start Shops extract session.
INFO:  2023-06-12 01:23:51,630:  17136:  extract:  Extraction session of Shops completed successfully.
INFO:  2023-06-12 01:23:51,630:  17136:  main:  Extraction of Shops CPU usage 0.0%.
INFO:  2023-06-12 01:23:51,630:  17136:  main:  Extraction took: 0.01221466064453125 seconds.
INFO:  2023-06-12 01:23:51,630:  17136:  staging_load:  Start Shops staging load session.
INFO:  2023-06-12 01:23:51,652:  17136:  staging_load:  Staging load session of Shops completed successfully.
INFO:  2023-06-12 01:23:51,652:  17136:  staging_load:  Staging load session of Shops has ended.
INFO:  2023-06-12 01:23:51,652:  17136:  main:  Staging load of Shops CPU usage 0.0%.
INFO:  2023-06-12 01:23:51,652:  17136:  main:  Staging load took: 0.0217740535736084 seconds.
INFO:  2023-06-12 01:23:51,652:  17136:  extract:  Start Warehouses extract session.
INFO:  2023-06-12 01:23:51,664:  17136:  extract:  Extraction session of Warehouses completed successfully.
INFO:  2023-06-12 01:23:51,664:  17136:  main:  Extraction of Warehouses CPU usage 11.1%.
INFO:  2023-06-12 01:23:51,664:  17136:  main:  Extraction took: 0.011843442916870117 seconds.
INFO:  2023-06-12 01:23:51,665:  17136:  staging_load:  Start Warehouses staging load session.
INFO:  2023-06-12 01:23:51,685:  17136:  staging_load:  Staging load session of Warehouses completed successfully.
INFO:  2023-06-12 01:23:51,685:  17136:  staging_load:  Staging load session of Warehouses has ended.
INFO:  2023-06-12 01:23:51,685:  17136:  main:  Staging load of Warehouses CPU usage 5.6%.
INFO:  2023-06-12 01:23:51,685:  17136:  main:  Staging load took: 0.019772052764892578 seconds.
INFO:  2023-06-12 01:23:51,685:  17136:  extract:  Start Vendors extract session.
INFO:  2023-06-12 01:23:51,697:  17136:  extract:  Extraction session of Vendors completed successfully.
INFO:  2023-06-12 01:23:51,698:  17136:  main:  Extraction of Vendors CPU usage 25.0%.
